NAME                                                        VERSION                                            TYPE     
AngleSharp                                                  1.1.2.0                                            dotnet    
AngleSharp.Xml                                              0.17.0.0                                           dotnet    
Autofac                                                     8.0.0.0                                            dotnet    
Autofac                                                     9.0.0.0                                            dotnet    
BencodeNET                                                  1.0.0.0                                            dotnet    
CommandLine                                                 2.9.1.0                                            dotnet    
DateTimeRoutines                                            0.22.735                                           dotnet    
FlareSolverrSharp                                           3.0.7.0                                            dotnet    
ICSharpCode.SharpZipLib                                     1.4.2.13                                           dotnet    
Jackett.Common                                              0.22.735                                           dotnet    
JackettUpdater                                              0.22.735                                           dotnet    
Json.NET                                                    13.0.3.27908                                       dotnet    
Json.NET BSON                                               1.0.2.22727                                        dotnet    
Microsoft.AspNetCore                                        8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Antiforgery                            8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Authentication                         8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Authentication.Abstractions            8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Authentication.BearerToken             8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Authentication.Cookies                 8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Authentication.Core                    8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Authentication.OAuth                   8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Authorization                          8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Authorization.Policy                   8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Components                             8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Components.Authorization               8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Components.Endpoints                   8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Components.Forms                       8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Components.Server                      8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Components.Web                         8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Connections.Abstractions               8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.CookiePolicy                           8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Cors                                   8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Cryptography.Internal                  8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Cryptography.KeyDerivation             8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.DataProtection                         8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.DataProtection.Abstractions            8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.DataProtection.Extensions              8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Diagnostics                            8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Diagnostics.Abstractions               8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Diagnostics.HealthChecks               8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.HostFiltering                          8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Hosting                                8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Hosting.Abstractions                   8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Hosting.Server.Abstractions            8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Html.Abstractions                      8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Http                                   8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Http.Abstractions                      8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Http.Connections                       8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Http.Connections.Common                8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Http.Extensions                        8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Http.Features                          8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Http.Results                           8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.HttpLogging                            8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.HttpOverrides                          8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.HttpsPolicy                            8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Identity                               8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.JsonPatch                              8.0.724.31402                                      dotnet    
Microsoft.AspNetCore.Localization                           8.0.824.36908                                      dotnet    
Microsoft.AspNetCore.Localization.Routing                   8.0.824.36908                                      dotnet    
